id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5009307566,Ana María Villegas,https://api.openalex.org/works?filter=author.id:A5009307566,27,64,US
https://openalex.org/A5004427266,Ana Valdivia,https://api.openalex.org/works?filter=author.id:A5004427266,12,23,GB
https://openalex.org/A5072436705,Anastasia Karpova,https://api.openalex.org/works?filter=author.id:A5072436705,2,8,
https://openalex.org/A5103511718,Anastasia Yu. Menshikova,https://api.openalex.org/works?filter=author.id:A5103511718,3,4,RU
https://openalex.org/A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,3,17,DK
https://openalex.org/A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,47,255,GB
https://openalex.org/A5055006309,Giuseppe Ricciardi,https://api.openalex.org/works?filter=author.id:A5055006309,31,125,IT
https://openalex.org/A5004705048,Andrea Gentili,https://api.openalex.org/works?filter=author.id:A5004705048,8,36,IT
https://openalex.org/A5066187890,Andrea Passerini,https://api.openalex.org/works?filter=author.id:A5066187890,28,237,IT
https://openalex.org/A5021211836,Andrea Tagarelli,https://api.openalex.org/works?filter=author.id:A5021211836,27,237,IT
https://openalex.org/A5012615589,Andrea W Wang,https://api.openalex.org/works?filter=author.id:A5012615589,1,3,
https://openalex.org/A5110939272,Andrea Mina,https://api.openalex.org/works?filter=author.id:A5110939272,18,80,IT
https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,8,33,DK
https://openalex.org/A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,27,138,IT
https://openalex.org/A5079955249,Andreas Koher,https://api.openalex.org/works?filter=author.id:A5079955249,8,16,DK
https://openalex.org/A5018128415,Andreas Spitz,https://api.openalex.org/works?filter=author.id:A5018128415,16,105,DE
https://openalex.org/A5009420670,Andréia Teixeira,https://api.openalex.org/works?filter=author.id:A5009420670,22,110,PT
https://openalex.org/A5050554579,Andrés F. Castro Torres,https://api.openalex.org/works?filter=author.id:A5050554579,9,67,ES
https://openalex.org/A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,22,80,US
https://openalex.org/A5113714609,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5113714609,32,148,US
https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,3,17,GB
https://openalex.org/A5108018053,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5108018053,4,17,GB
https://openalex.org/A5015051311,Andy Berres,https://api.openalex.org/works?filter=author.id:A5015051311,8,98,US
https://openalex.org/A5029769369,A. Skumanich,https://api.openalex.org/works?filter=author.id:A5029769369,40,294,GB
https://openalex.org/A5070868747,Ane Rahbek Vierø,https://api.openalex.org/works?filter=author.id:A5070868747,1,12,DK
https://openalex.org/A5103622388,Miguel Ángel Gómez Sánchez,https://api.openalex.org/works?filter=author.id:A5103622388,22,91,ES
https://openalex.org/A5064591138,Angelita Repetto,https://api.openalex.org/works?filter=author.id:A5064591138,1,4,US
https://openalex.org/A5066979752,Ângelo Brayner,https://api.openalex.org/works?filter=author.id:A5066979752,11,87,BR
https://openalex.org/A5003539468,Angelos P. Kassianos,https://api.openalex.org/works?filter=author.id:A5003539468,29,139,CY
https://openalex.org/A5054630728,Anikó Hannák,https://api.openalex.org/works?filter=author.id:A5054630728,16,51,CH
https://openalex.org/A5025245627,Anjali Saxena,https://api.openalex.org/works?filter=author.id:A5025245627,17,75,US
https://openalex.org/A5093875938,Anna Bertani,https://api.openalex.org/works?filter=author.id:A5093875938,1,3,IT
https://openalex.org/A5079255958,Anna Di Natale,https://api.openalex.org/works?filter=author.id:A5079255958,9,20,IT
https://openalex.org/A5039311814,Johnson George,https://api.openalex.org/works?filter=author.id:A5039311814,40,218,IN
https://openalex.org/A5023767790,Anna Laura Mancini,https://api.openalex.org/works?filter=author.id:A5023767790,9,54,IT
https://openalex.org/A5039256697,Anna Rogers,https://api.openalex.org/works?filter=author.id:A5039256697,25,76,DK
https://openalex.org/A5091783761,Anna Sapienza,https://api.openalex.org/works?filter=author.id:A5091783761,13,41,US
https://openalex.org/A5061454360,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5061454360,2,11,HU
https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,2,5,US
https://openalex.org/A5061225686,Anna Sokolova,https://api.openalex.org/works?filter=author.id:A5061225686,24,142,RU
https://openalex.org/A5063995659,Annapaola Marconi,https://api.openalex.org/works?filter=author.id:A5063995659,23,131,IT
https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,13,43,NL
https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,13,43,NL
https://openalex.org/A5020916633,Anne Cathrine Linder,https://api.openalex.org/works?filter=author.id:A5020916633,5,21,DK
https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,13,43,NL
https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,8,23,GB
https://openalex.org/A5047632353,Antonin Pottier,https://api.openalex.org/works?filter=author.id:A5047632353,13,125,DE
https://openalex.org/A5006126497,Antonio Ariño Villarroya,https://api.openalex.org/works?filter=author.id:A5006126497,9,143,ES
https://openalex.org/A5033797206,Antonio Bucchiarone,https://api.openalex.org/works?filter=author.id:A5033797206,26,243,IT
https://openalex.org/A5045033500,Antonio Desiderio,https://api.openalex.org/works?filter=author.id:A5045033500,3,14,IT
https://openalex.org/A5078906245,Antonio Longa,https://api.openalex.org/works?filter=author.id:A5078906245,7,33,IT
https://openalex.org/A5051621664,Antonio Rojas‐García,https://api.openalex.org/works?filter=author.id:A5051621664,19,52,GB
https://openalex.org/A5084285249,Antti Gronow,https://api.openalex.org/works?filter=author.id:A5084285249,14,58,FI
https://openalex.org/A5089890523,Anubhab Das,https://api.openalex.org/works?filter=author.id:A5089890523,4,9,IN
https://openalex.org/A5091669275,Anya Hommadova Lu,https://api.openalex.org/works?filter=author.id:A5091669275,4,11,US
https://openalex.org/A5033485181,Ardon Z. Shorr,https://api.openalex.org/works?filter=author.id:A5033485181,2,5,US
https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,2,7,DK
https://openalex.org/A5058670333,Armando Bazzani,https://api.openalex.org/works?filter=author.id:A5058670333,18,206,IT
