author_1,author_2,weight
https://openalex.org/A5069999998,https://openalex.org/A5103706325,3
https://openalex.org/A5000679279,https://openalex.org/A5069999998,6
https://openalex.org/A5000679279,https://openalex.org/A5103706325,3
https://openalex.org/A5027814433,https://openalex.org/A5064296964,2
https://openalex.org/A5064296964,https://openalex.org/A5071294124,2
https://openalex.org/A5027814433,https://openalex.org/A5071294124,2
https://openalex.org/A5000679279,https://openalex.org/A5027814433,2
https://openalex.org/A5000679279,https://openalex.org/A5071294124,2
https://openalex.org/A5043639182,https://openalex.org/A5064296964,2
https://openalex.org/A5064296964,https://openalex.org/A5111367077,2
https://openalex.org/A5064296964,https://openalex.org/A5075956753,8
https://openalex.org/A5043639182,https://openalex.org/A5111367077,2
https://openalex.org/A5043639182,https://openalex.org/A5075956753,3
https://openalex.org/A5075956753,https://openalex.org/A5111367077,2
https://openalex.org/A5064296964,https://openalex.org/A5102756489,6
https://openalex.org/A5013559230,https://openalex.org/A5064296964,6
https://openalex.org/A5064296964,https://openalex.org/A5115598991,6
https://openalex.org/A5011229206,https://openalex.org/A5064296964,6
https://openalex.org/A5064296964,https://openalex.org/A5109833231,6
https://openalex.org/A5064296964,https://openalex.org/A5073189960,7
https://openalex.org/A5013559230,https://openalex.org/A5102756489,6
https://openalex.org/A5075956753,https://openalex.org/A5102756489,6
https://openalex.org/A5102756489,https://openalex.org/A5115598991,6
https://openalex.org/A5011229206,https://openalex.org/A5102756489,6
https://openalex.org/A5102756489,https://openalex.org/A5109833231,6
https://openalex.org/A5073189960,https://openalex.org/A5102756489,6
https://openalex.org/A5007176508,https://openalex.org/A5102756489,6
https://openalex.org/A5013559230,https://openalex.org/A5075956753,6
https://openalex.org/A5013559230,https://openalex.org/A5115598991,6
https://openalex.org/A5011229206,https://openalex.org/A5013559230,6
https://openalex.org/A5013559230,https://openalex.org/A5109833231,6
https://openalex.org/A5013559230,https://openalex.org/A5073189960,6
https://openalex.org/A5007176508,https://openalex.org/A5013559230,6
https://openalex.org/A5075956753,https://openalex.org/A5115598991,6
https://openalex.org/A5011229206,https://openalex.org/A5075956753,9
https://openalex.org/A5075956753,https://openalex.org/A5109833231,6
https://openalex.org/A5073189960,https://openalex.org/A5075956753,6
https://openalex.org/A5007176508,https://openalex.org/A5075956753,23
https://openalex.org/A5011229206,https://openalex.org/A5115598991,6
https://openalex.org/A5109833231,https://openalex.org/A5115598991,6
https://openalex.org/A5073189960,https://openalex.org/A5115598991,6
https://openalex.org/A5007176508,https://openalex.org/A5115598991,6
https://openalex.org/A5011229206,https://openalex.org/A5109833231,6
https://openalex.org/A5011229206,https://openalex.org/A5073189960,6
https://openalex.org/A5007176508,https://openalex.org/A5011229206,15
https://openalex.org/A5073189960,https://openalex.org/A5109833231,6
https://openalex.org/A5007176508,https://openalex.org/A5109833231,6
https://openalex.org/A5007176508,https://openalex.org/A5073189960,6
https://openalex.org/A5064296964,https://openalex.org/A5091452530,2
https://openalex.org/A5007176508,https://openalex.org/A5091452530,2
https://openalex.org/A5064296964,https://openalex.org/A5073565809,3
https://openalex.org/A5056499434,https://openalex.org/A5064296964,3
https://openalex.org/A5057243118,https://openalex.org/A5073565809,3
https://openalex.org/A5056499434,https://openalex.org/A5057243118,3
https://openalex.org/A5056499434,https://openalex.org/A5073565809,3
https://openalex.org/A5007176508,https://openalex.org/A5073565809,3
https://openalex.org/A5007176508,https://openalex.org/A5056499434,3
https://openalex.org/A5064296964,https://openalex.org/A5076633756,3
https://openalex.org/A5076633756,https://openalex.org/A5077079119,3
https://openalex.org/A5069454833,https://openalex.org/A5076633756,3
https://openalex.org/A5069999998,https://openalex.org/A5076633756,3
https://openalex.org/A5000679279,https://openalex.org/A5076633756,3
https://openalex.org/A5046561315,https://openalex.org/A5064296964,1
https://openalex.org/A5033977409,https://openalex.org/A5046561315,1
https://openalex.org/A5038699799,https://openalex.org/A5046561315,1
https://openalex.org/A5046561315,https://openalex.org/A5073189960,1
https://openalex.org/A5046561315,https://openalex.org/A5103326255,1
https://openalex.org/A5033977409,https://openalex.org/A5064296964,1
https://openalex.org/A5038699799,https://openalex.org/A5064296964,1
https://openalex.org/A5064296964,https://openalex.org/A5103326255,1
https://openalex.org/A5033977409,https://openalex.org/A5038699799,1
https://openalex.org/A5033977409,https://openalex.org/A5073189960,1
https://openalex.org/A5033977409,https://openalex.org/A5103326255,1
https://openalex.org/A5038699799,https://openalex.org/A5073189960,1
https://openalex.org/A5038699799,https://openalex.org/A5103326255,1
https://openalex.org/A5073189960,https://openalex.org/A5103326255,1
https://openalex.org/A5063098095,https://openalex.org/A5070463669,10
https://openalex.org/A5015642711,https://openalex.org/A5063098095,3
https://openalex.org/A5016146759,https://openalex.org/A5063098095,3
https://openalex.org/A5063098095,https://openalex.org/A5068182184,10
https://openalex.org/A5015642711,https://openalex.org/A5070463669,3
https://openalex.org/A5016146759,https://openalex.org/A5070463669,3
https://openalex.org/A5068182184,https://openalex.org/A5070463669,28
https://openalex.org/A5015642711,https://openalex.org/A5016146759,3
https://openalex.org/A5015642711,https://openalex.org/A5068182184,3
https://openalex.org/A5016146759,https://openalex.org/A5068182184,13
https://openalex.org/A5034406723,https://openalex.org/A5070463669,13
https://openalex.org/A5034406723,https://openalex.org/A5063098095,4
https://openalex.org/A5034406723,https://openalex.org/A5068182184,13
https://openalex.org/A5011035455,https://openalex.org/A5039188573,1
https://openalex.org/A5002607503,https://openalex.org/A5068497573,4
https://openalex.org/A5008888392,https://openalex.org/A5068497573,4
https://openalex.org/A5054960661,https://openalex.org/A5068497573,4
https://openalex.org/A5011035455,https://openalex.org/A5068497573,4
https://openalex.org/A5068497573,https://openalex.org/A5105508446,4
https://openalex.org/A5068497573,https://openalex.org/A5081476701,6
https://openalex.org/A5033081182,https://openalex.org/A5068497573,4
https://openalex.org/A5052965447,https://openalex.org/A5068497573,11
https://openalex.org/A5002607503,https://openalex.org/A5008888392,4
https://openalex.org/A5002607503,https://openalex.org/A5054960661,4
https://openalex.org/A5002607503,https://openalex.org/A5011035455,4
https://openalex.org/A5002607503,https://openalex.org/A5105508446,4
https://openalex.org/A5002607503,https://openalex.org/A5081476701,4
https://openalex.org/A5002607503,https://openalex.org/A5033081182,4
https://openalex.org/A5002607503,https://openalex.org/A5052965447,4
https://openalex.org/A5008888392,https://openalex.org/A5054960661,4
https://openalex.org/A5008888392,https://openalex.org/A5011035455,4
https://openalex.org/A5008888392,https://openalex.org/A5105508446,4
https://openalex.org/A5008888392,https://openalex.org/A5081476701,4
https://openalex.org/A5008888392,https://openalex.org/A5033081182,4
https://openalex.org/A5008888392,https://openalex.org/A5052965447,4
